Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
St. Kitts and Nevis,KNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,3.91%,7.6%,8.44%,1.55%,.55%,1.19%,8.87%,8.55%,10.86%,6.55%,9.23%,5.48%,4.88%,-1.86%,4.27%,6.8%,5.3%,5.38%,5.84%,6.82%,-.49%,3.22%,10.04%,5.25%,1.37%,-3.93%,4.%,9.73%,3.15%,.6%,11.32%,-3.4%,-.05%,1.62%,-.74%,5.73%,7.58%,.69%,3.93%,.22%,2.%,2.83%,-15.35%,.48%,10.52%,2.28%
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.94%,3.9%,9.02%,9.47%,7.32%,11.99%,9.08%,13.17%,14.56%,10.05%,10.55%,7.21%,14.9%,9.51%,7.84%,13.22%,12.34%,10.95%,8.67%,-1.65%,7.25%,8.34%,13.38%,10.55%,7.84%,11.33%,12.72%,11.99%,7.07%,9.88%,10.78%,6.2%,6.88%,9.27%,9.61%,7.89%,6.17%,-5.13%,11.47%,9.06%,4.85%,7.73%,3.15%,5.2%,4.31%,5.26%,5.8%,3.01%,.79%,6.8%,3.69%,2.4%,3.16%,3.2%,2.81%,2.95%,3.16%,2.91%,2.24%,-.71%,4.3%,2.61%,1.36%
Kuwait,KWT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,7.04%,3.9%,-6.57%,-12.99%,-12.27%,6.61%,-3.85%,7.35%,13.9%,-19.41%,-18.92%,-11.75%,7.94%,5.24%,-4.26%,8.57%,8.15%,-10.05%,25.89%,-26.23%,-41.01%,82.81%,33.99%,8.44%,4.86%,.61%,2.47%,3.66%,-1.79%,4.69%,.21%,3.01%,17.33%,10.24%,10.61%,7.51%,5.99%,2.48%,-7.08%,-2.37%,9.63%,6.63%,1.15%,.5%,.59%,2.93%,-4.71%,2.74%,2.26%,-4.82%,2.26%,5.86%,-3.64%
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.16%,4.35%,1.76%,7.61%,5.87%,4.64%,4.45%,7.45%,6.9%,6.81%,6.98%,7.73%,8.7%,6.64%,4.24%,5.5%,4.76%,4.31%,7.36%,6.63%,1.05%,.26%,-2.08%,3.92%,3.14%,3.37%,3.16%,.36%,1.4%,-.47%,2.8%,2.14%,4.35%,5.27%,.42%,3.87%,5.28%,2.79%,.53%,3.62%,.18%,.37%,2.41%,5.27%,3.99%,5.25%,5.34%,3.74%,-2.41%,6.67%,4.43%,2.37%,2.77%,1.3%,.29%,-.48%,2.02%,1.57%,.63%,-6.47%,6.86%,3.85%,2.07%
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,5.07%,4.89%,-1.43%,-2.01%,14.19%,6.7%,4.3%,5.56%,5.91%,8.16%,7.03%,6.93%,6.87%,3.97%,7.31%,5.8%,5.75%,5.92%,6.07%,6.36%,7.11%,8.62%,7.6%,7.82%,7.5%,8.53%,8.04%,8.03%,8.03%,7.61%,7.27%,7.02%,6.89%,6.25%,5.46%,.5%,2.53%,2.71%,3.75%
Lebanon,LBN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.45%,26.53%,49.45%,16.44%,10.77%,8.11%,6.45%,11.29%,1.05%,3.67%,-.53%,1.34%,3.84%,3.42%,3.23%,6.68%,2.69%,1.55%,9.31%,9.07%,10.23%,7.98%,.87%,2.56%,3.83%,2.48%,.46%,1.55%,.9%,-1.88%,-6.91%,-21.4%,-7.%,-.62%,
Liberia,LBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.44%,1.34%,2.27%,5.15%,4.79%,7.7%,6.75%,4.77%,7.29%,6.66%,4.9%,4.14%,-2.26%,4.75%,-3.47%,5.31%,1.59%,4.82%,3.26%,-4.1%,-2.14%,-2.43%,-1.9%,-2.11%,-.84%,-1.68%,-1.%,-2.04%,-26.67%,-51.03%,-14.23%,-35.09%,-32.98%,-21.76%,-4.27%,12.12%,106.28%,30.21%,21.74%,28.62%,2.92%,3.76%,-30.15%,2.62%,5.28%,8.04%,9.54%,7.15%,5.3%,6.1%,8.2%,7.99%,8.69%,.7%,-.02%,-1.55%,2.46%,1.16%,-2.47%,-2.98%,4.99%,4.81%,4.68%
Libya,LBY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,9.9%,32.52%,35.02%,45.07%,28.15%,18.59%,11.11%,33.86%,13.09%,4.95%,-5.28%,9.13%,1.94%,22.19%,4.03%,22.88%,8.85%,3.3%,8.96%,.69%,-19.19%,2.81%,-2.47%,-5.04%,8.33%,-11.35%,-14.7%,7.58%,7.2%,3.72%,15.66%,-2.71%,-3.76%,1.93%,-2.22%,2.13%,5.21%,-3.55%,.75%,3.68%,-1.76%,-.96%,13.02%,4.46%,11.87%,6.5%,6.23%,-.16%,-4.4%,5.03%,-50.34%,86.83%,-18.%,-23.04%,-.84%,-1.49%,32.49%,7.94%,-11.2%,-29.46%,28.33%,-8.25%,10.16%
St. Lucia,LCA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,10.31%,3.79%,-2.22%,6.31%,2.09%,4.97%,7.27%,8.29%,14.4%,3.92%,13.9%,8.98%,9.89%,.38%,7.95%,.58%,1.6%,1.75%,2.92%,-.69%,6.29%,2.67%,.05%,-3.41%,.42%,4.26%,7.27%,-.41%,6.2%,1.69%,4.95%,-2.83%,.33%,4.33%,-.11%,-2.01%,1.52%,.1%,3.43%,3.38%,2.89%,-.7%,-24.36%,11.6%,20.39%,2.21%
Latin America & Caribbean,LCN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.13%,4.31%,2.08%,7.27%,5.68%,4.95%,4.35%,7.11%,6.83%,6.52%,6.88%,7.16%,7.99%,6.24%,3.58%,5.44%,4.87%,4.53%,7.39%,6.64%,1.22%,-.17%,-2.28%,3.89%,3.13%,3.48%,3.3%,.61%,1.71%,-.38%,2.95%,2.57%,4.39%,5.23%,.83%,3.91%,5.4%,2.98%,.69%,3.62%,.45%,.47%,2.46%,5.44%,3.94%,5.14%,5.19%,3.64%,-2.28%,6.39%,4.4%,2.57%,2.76%,1.33%,.4%,-.34%,1.89%,1.57%,.68%,-6.59%,7.05%,3.96%,2.09%
Least developed countries: UN classification,LDC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,7.48%,2.04%,3.67%,3.73%,3.35%,1.08%,5.18%,3.28%,-.66%,1.73%,-1.5%,2.31%,5.7%,.44%,3.87%,1.93%,1.62%,1.86%,2.08%,2.46%,1.09%,1.69%,2.36%,1.63%,3.43%,4.27%,2.74%,1.76%,.04%,1.78%,.41%,-.22%,.6%,5.79%,5.6%,5.36%,4.03%,4.09%,4.37%,4.85%,5.32%,5.04%,6.38%,7.44%,6.89%,7.29%,6.46%,4.32%,6.22%,3.24%,3.2%,5.86%,5.65%,2.64%,3.73%,4.55%,4.61%,5.08%,-.11%,2.83%,4.64%,3.43%
Low income,LIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,3.5%,5.74%,2.89%,4.73%,1.73%,1.57%,5.84%,2.52%,3.15%,2.79%,-.04%,.47%,2.9%,2.84%,1.23%,1.53%,-.79%,.61%,2.67%,5.11%,3.42%,-.12%,-2.72%,1.24%,-.1%,1.08%,1.63%,4.99%,5.73%,6.14%,4.04%,2.64%,3.21%,4.26%,4.93%,4.89%,6.14%,6.57%,5.91%,6.12%,5.54%,4.14%,6.98%,.79%,-3.15%,3.6%,4.4%,-.73%,2.05%,3.11%,3.4%,4.3%,.32%,2.17%,3.67%,2.24%
Liechtenstein,LIE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,1.67%,1.67%,1.67%,1.67%,1.67%,4.76%,4.76%,4.76%,4.76%,4.76%,4.81%,-1.59%,.54%,4.29%,7.02%,4.%,9.23%,5.63%,4.49%,2.25%,1.8%,3.61%,4.33%,6.87%,5.88%,6.91%,7.23%,7.76%,10.41%,3.22%,-.73%,-.99%,-1.94%,3.04%,4.83%,8.64%,3.33%,1.8%,-1.16%,,,,,,,,,,,,,,
Sri Lanka,LKA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,3.82%,2.52%,3.91%,2.54%,5.02%,6.44%,5.8%,7.72%,3.85%,1.31%,-.41%,7.06%,3.85%,6.13%,3.34%,5.1%,5.65%,6.4%,5.85%,5.7%,4.14%,4.81%,5.1%,5.%,4.36%,1.73%,2.47%,2.3%,6.4%,4.6%,4.4%,6.9%,5.6%,5.5%,3.8%,6.41%,4.7%,4.3%,6.%,-1.55%,3.96%,5.94%,5.45%,6.24%,7.67%,6.8%,5.95%,3.54%,8.02%,8.67%,8.63%,4.05%,6.38%,4.21%,5.05%,6.46%,2.31%,-.22%,-4.62%,4.21%,-7.35%,-2.3%
Lower middle income,LMC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.27%,3.79%,6.11%,6.53%,2.07%,1.4%,1.63%,3.9%,7.88%,7.2%,4.81%,1.71%,4.58%,4.84%,3.5%,5.48%,5.69%,3.77%,1.55%,5.23%,2.01%,2.22%,2.27%,2.7%,3.98%,3.85%,3.63%,6.71%,3.68%,5.12%,2.1%,3.7%,2.36%,3.98%,5.12%,6.35%,3.98%,4.53%,5.36%,4.21%,4.35%,4.51%,5.95%,7.08%,6.71%,6.97%,6.9%,4.59%,5.96%,6.86%,4.76%,5.16%,5.68%,6.12%,5.94%,5.7%,5.46%,5.44%,4.08%,-3.6%,6.66%,5.84%,5.55%
Low & middle income,LMY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.03%,3.59%,4.8%,7.83%,6.08%,4.94%,3.22%,6.11%,8.15%,7.93%,6.18%,6.16%,6.87%,6.03%,4.24%,6.24%,4.58%,3.67%,4.58%,4.71%,1.91%,2.83%,1.61%,4.65%,4.43%,3.69%,4.66%,4.09%,3.05%,3.13%,2.83%,4.24%,5.02%,5.11%,4.57%,6.22%,5.64%,3.31%,3.64%,5.53%,3.63%,4.73%,5.87%,7.65%,7.32%,8.2%,8.83%,5.91%,3.98%,8.16%,6.38%,5.48%,5.6%,5.17%,4.72%,4.76%,5.34%,4.99%,4.07%,-1.12%,7.34%,3.82%,4.61%
Lesotho,LSO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.86%,15.33%,10.62%,8.25%,2.15%,-.41%,10.91%,-.37%,1.55%,2.18%,5.11%,-.2%,26.4%,10.98%,-13.51%,11.05%,21.81%,18.32%,2.89%,-2.74%,.69%,4.46%,1.99%,5.53%,2.61%,4.68%,.73%,8.6%,5.8%,6.05%,6.97%,6.96%,3.51%,5.98%,3.29%,5.6%,3.7%,1.54%,.48%,3.88%,3.56%,.72%,4.56%,1.69%,3.47%,4.23%,4.19%,5.52%,-1.25%,5.27%,4.62%,6.33%,1.79%,1.71%,3.12%,3.61%,-3.14%,-1.48%,-1.42%,-8.16%,2.27%,2.39%,1.83%
Late-demographic dividend,LTE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-3.63%,2.97%,4.13%,7.18%,6.93%,7.68%,1.8%,5.21%,9.94%,10.81%,8.51%,7.87%,9.83%,5.01%,4.3%,6.64%,6.32%,6.64%,7.77%,7.3%,.12%,1.92%,1.73%,7.79%,7.22%,5.78%,6.43%,5.11%,4.73%,.23%,.47%,.76%,4.29%,4.42%,5.63%,5.07%,5.61%,2.82%,4.61%,6.98%,5.18%,5.98%,6.82%,8.18%,7.73%,9.28%,10.2%,6.92%,3.68%,8.03%,7.19%,5.81%,5.61%,5.24%,4.71%,4.46%,5.32%,5.42%,4.66%,.21%,7.48%,3.14%,4.15%
Lithuania,LTU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.68%,-21.26%,-16.23%,-9.77%,3.29%,5.03%,8.3%,7.46%,-1.1%,3.42%,6.48%,6.72%,10.55%,6.5%,7.73%,7.4%,11.08%,2.6%,-14.84%,.43%,6.32%,4.38%,4.05%,3.77%,2.83%,2.67%,4.61%,4.92%,4.68%,.04%,6.38%,2.54%,.34%
Luxembourg,LUX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.83%,1.36%,3.44%,7.87%,-.73%,1.11%,.22%,4.18%,9.97%,1.76%,2.67%,6.6%,8.31%,4.21%,-6.57%,2.53%,1.57%,4.07%,2.35%,.84%,-.55%,1.13%,2.99%,6.19%,2.79%,9.98%,3.95%,8.46%,9.8%,5.32%,8.64%,1.82%,4.2%,3.82%,1.43%,1.4%,5.42%,6.67%,8.18%,6.94%,3.07%,3.23%,2.62%,4.23%,2.48%,6.02%,8.1%,-.3%,-3.24%,3.76%,1.04%,1.65%,3.17%,2.62%,2.27%,4.98%,1.32%,1.22%,2.92%,-.91%,7.17%,1.38%,-1.1%
Latvia,LVA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.6%,-32.12%,-4.98%,2.19%,-.94%,2.3%,9.17%,6.55%,2.82%,5.84%,6.46%,7.67%,8.43%,8.73%,11.62%,12.83%,10.41%,-3.39%,-16.04%,-3.66%,3.04%,7.31%,2.1%,2.09%,3.78%,2.55%,3.4%,4.31%,.68%,-3.47%,6.95%,1.81%,1.71%
"Macao SAR, China",MAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,10.02%,8.46%,.73%,6.69%,14.29%,7.81%,5.02%,7.98%,3.66%,13.3%,5.19%,4.25%,3.3%,-.42%,-.28%,-4.57%,-2.36%,5.75%,2.89%,8.91%,11.64%,26.63%,8.08%,13.39%,14.48%,3.39%,1.27%,25.12%,21.62%,9.24%,10.75%,-2.05%,-21.51%,-.68%,9.86%,6.41%,-2.56%,-54.34%,23.54%,-19.61%,75.06%
St. Martin (French part),MAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.%,5.%,-8.%,-8.%,6.5%,-12.5%,4.9%,,
Morocco,MAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,10.03%,9.89%,8.36%,4.71%,5.6%,2.44%,3.56%,5.6%,7.56%,10.81%,6.06%,2.23%,4.79%,3.64%,-1.74%,8.96%,1.39%,6.42%,6.01%,9.27%,-.33%,11.88%,2.85%,3.41%,7.22%,-2.1%,-.74%,10.59%,-5.41%,12.37%,-1.56%,7.24%,1.7%,2.58%,7.72%,3.73%,6.17%,4.57%,3.19%,7.79%,3.44%,5.68%,3.75%,3.5%,5.52%,3.06%,4.12%,2.72%,4.34%,.52%,5.06%,3.07%,2.89%,-7.18%,8.15%,1.53%,3.4%
Monaco,MCO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,5.23%,4.65%,6.55%,4.47%,-.97%,4.41%,3.55%,3.95%,3.53%,1.69%,.92%,2.43%,1.19%,1.48%,1.71%,2.45%,2.48%,4.6%,4.16%,2.64%,1.02%,1.37%,-.91%,2.22%,2.12%,1.11%,2.24%,3.5%,3.3%,3.91%,2.19%,1.03%,1.09%,2.47%,1.9%,5.82%,14.44%,.75%,-11.34%,2.07%,7.02%,1.01%,9.58%,7.19%,4.91%,3.01%,-3.21%,5.7%,7.12%,-13.24%,22.23%,11.05%,5.04%
Moldova,MDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.%,-29.1%,-1.2%,-30.9%,-1.4%,-5.88%,1.65%,-6.54%,-3.37%,2.11%,6.1%,7.8%,6.6%,7.4%,7.5%,4.8%,3.%,7.8%,-6.%,7.1%,5.82%,-.59%,9.04%,5.%,-.34%,4.65%,4.18%,4.08%,3.55%,-8.28%,13.93%,-5.02%,.78%
Madagascar,MDG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.05%,2.27%,-.93%,3.96%,-.45%,2.06%,5.53%,6.83%,3.72%,5.28%,3.93%,-1.27%,-2.62%,2.01%,1.26%,-3.07%,2.36%,-2.66%,9.85%,.95%,-9.8%,-1.9%,.9%,1.76%,1.16%,1.96%,1.17%,3.41%,4.07%,3.13%,-6.31%,1.18%,2.1%,-.04%,1.68%,2.15%,3.69%,3.92%,4.7%,4.46%,5.98%,-12.41%,9.78%,5.26%,4.76%,5.4%,5.71%,6.71%,-3.98%,.62%,1.58%,3.01%,2.3%,3.34%,3.13%,3.99%,3.93%,3.19%,4.41%,-7.14%,5.74%,4.%,3.8%
Maldives,MDV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,5.21%,2.42%,1.58%,5.73%,-7.99%,.6%,11.25%,14.68%,10.66%,18.57%,11.76%,-3.01%,16.26%,26.96%,15.42%,9.36%,8.83%,8.73%,9.33%,16.95%,1.44%,6.67%,5.56%,7.75%,12.99%,7.86%,8.4%,7.49%,6.18%,3.85%,-3.94%,7.27%,13.75%,5.82%,-11.22%,23.61%,7.12%,8.98%,-8.16%,6.84%,8.57%,2.36%,6.96%,7.8%,3.97%,6.57%,7.05%,8.67%,7.3%,-32.91%,37.51%,13.83%,4.73%
Middle East & North Africa,MEA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.17%,5.42%,10.81%,9.85%,12.69%,6.73%,7.97%,12.77%,10.87%,17.81%,9.51%,14.34%,11.34%,8.93%,-.06%,14.31%,3.78%,-.65%,5.68%,.99%,.11%,-1.66%,-.82%,-.21%,.11%,-2.1%,.54%,1.8%,3.8%,8.96%,1.93%,6.15%,2.54%,3.03%,3.05%,5.13%,4.45%,4.32%,2.72%,6.57%,1.84%,1.97%,4.61%,7.98%,5.06%,6.%,5.25%,4.59%,.81%,5.08%,3.75%,3.93%,2.16%,2.94%,2.56%,4.35%,1.98%,2.27%,1.26%,-3.42%,4.8%,5.63%,1.98%
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.%,4.66%,8.11%,11.91%,7.1%,6.1%,5.85%,9.42%,3.42%,6.5%,3.76%,8.23%,7.86%,5.78%,5.74%,4.42%,3.39%,8.96%,9.7%,8.76%,9.59%,-.05%,-4.62%,3.51%,1.92%,-3.93%,2.06%,1.22%,3.63%,5.25%,3.98%,3.57%,2.87%,4.39%,-5.91%,6.22%,7.2%,6.19%,2.76%,5.03%,-.45%,-.24%,1.19%,3.57%,2.11%,4.81%,2.08%,.94%,-6.3%,4.97%,3.44%,3.55%,.85%,2.5%,2.7%,1.77%,1.87%,1.97%,-.39%,-8.35%,6.05%,3.69%,3.2%
Marshall Islands,MHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,2.31%,1.08%,33.92%,15.32%,.06%,.36%,2.43%,5.62%,2.14%,-7.2%,6.44%,4.83%,15.51%,3.87%,-6.26%,24.54%,9.36%,7.79%,-1.69%,2.68%,.09%,7.14%,6.01%,5.88%,8.21%,-10.3%,-6.45%,-.67%,-1.33%,2.45%,6.93%,3.64%,-1.56%,-.41%,1.79%,.18%,3.69%,-7.57%,3.67%,5.54%,-.5%,-1.29%,3.81%,-1.26%,1.89%,2.5%,3.56%,5.49%,10.45%,-2.77%,1.22%,-1.12%,-3.93%
Middle income,MIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.17%,3.31%,4.93%,8.12%,6.17%,5.%,3.26%,6.2%,8.24%,8.1%,6.22%,6.29%,7.03%,6.03%,4.29%,6.33%,4.63%,3.77%,4.68%,4.76%,1.89%,2.87%,1.61%,4.79%,4.52%,3.71%,4.65%,4.11%,3.12%,3.26%,2.86%,4.34%,5.1%,5.19%,4.57%,6.23%,5.63%,3.29%,3.66%,5.58%,3.62%,4.73%,5.89%,7.68%,7.33%,8.25%,8.89%,5.92%,3.97%,8.18%,6.49%,5.64%,5.64%,5.19%,4.81%,4.81%,5.38%,5.01%,4.07%,-1.14%,7.42%,3.82%,4.64%
North Macedonia,MKD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.17%,-6.57%,-7.47%,-1.76%,-1.11%,1.19%,1.44%,3.38%,4.34%,4.55%,-3.07%,1.49%,2.22%,4.67%,4.72%,5.14%,6.47%,5.47%,-.36%,3.36%,2.34%,-.46%,2.93%,3.63%,3.86%,2.85%,1.08%,2.88%,3.91%,-4.69%,4.51%,2.76%,2.07%
Mali,MLI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,3.71%,.23%,6.14%,2.57%,5.84%,-1.46%,-1.53%,11.63%,13.62%,6.35%,-1.46%,10.4%,-4.33%,1.51%,-7.38%,1.82%,-.29%,20.29%,2.69%,-.14%,7.39%,4.18%,-2.5%,11.75%,-3.22%,3.17%,3.78%,.92%,7.06%,4.83%,7.57%,5.7%,-.06%,15.38%,3.11%,9.12%,1.56%,6.53%,4.66%,3.49%,4.77%,4.81%,5.31%,3.21%,-.84%,2.3%,7.08%,6.17%,5.85%,5.31%,4.75%,4.76%,-1.24%,3.05%,3.47%,4.66%
Malta,MLT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,2.45%,5.84%,4.15%,10.04%,19.56%,17.02%,12.18%,11.16%,10.49%,7.05%,3.31%,2.28%,-.61%,.94%,2.59%,3.89%,4.11%,8.41%,8.18%,6.29%,6.26%,4.69%,4.48%,5.65%,6.34%,3.78%,5.26%,5.13%,4.72%,19.68%,-.76%,2.74%,3.69%,.41%,2.88%,2.34%,5.04%,4.41%,-1.4%,6.2%,.99%,4.1%,6.29%,7.63%,9.62%,4.08%,12.97%,7.19%,4.08%,-3.47%,13.46%,4.15%,7.5%
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,.47%,4.09%,13.35%,-5.89%,10.69%,-4.85%,-5.93%,12.06%,3.29%,4.98%,4.13%,2.44%,-.97%,5.34%,4.15%,6.08%,5.95%,6.52%,5.2%,7.94%,6.36%,5.6%,4.39%,4.93%,2.85%,-1.06%,-4.01%,-11.35%,3.7%,2.82%,-.65%,9.66%,6.04%,7.48%,6.95%,6.44%,5.65%,5.87%,10.95%,13.75%,11.34%,12.03%,13.84%,13.56%,13.57%,13.08%,11.99%,10.26%,10.55%,9.63%,5.59%,7.33%,8.43%,8.17%,6.99%,5.86%,6.14%,6.27%,6.58%,-9.05%,-12.02%,4.04%,.96%
Middle East & North Africa (excluding high income),MNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.37%,2.31%,11.65%,10.6%,12.51%,7.37%,7.89%,13.17%,11.78%,8.38%,6.22%,13.25%,5.28%,7.81%,3.%,16.25%,1.46%,-2.83%,-1.01%,-4.89%,-2.7%,11.6%,4.46%,-.55%,3.86%,-2.95%,.09%,.76%,2.44%,10.94%,.53%,4.46%,1.5%,2.04%,2.57%,6.18%,3.94%,5.96%,4.32%,6.02%,2.77%,3.15%,2.29%,7.73%,4.47%,5.28%,6.02%,3.71%,2.55%,5.36%,-.94%,3.55%,.45%,2.06%,.49%,5.4%,3.12%,1.82%,.91%,-3.22%,4.33%,4.11%,3.15%
Montenegro,MNE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9%,-9.4%,3.1%,1.1%,1.9%,2.48%,4.43%,4.18%,8.57%,6.81%,7.22%,-5.8%,2.73%,3.23%,-2.72%,3.55%,1.78%,3.39%,2.95%,4.72%,5.08%,4.06%,-15.31%,13.04%,6.41%,6.34%
Mongolia,MNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,8.34%,5.83%,5.93%,5.71%,9.37%,3.46%,5.11%,4.18%,-3.18%,-8.69%,-9.26%,-3.17%,2.13%,6.38%,2.24%,3.9%,3.34%,3.07%,1.15%,2.95%,4.73%,7.%,10.63%,7.25%,8.56%,10.25%,8.9%,-1.27%,6.37%,17.29%,12.32%,11.65%,7.89%,2.38%,1.49%,5.64%,7.74%,5.6%,-4.56%,1.64%,5.03%,7.42%
Northern Mariana Islands,MNP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.34%,-3.08%,-12.7%,-6.87%,-6.68%,-11.07%,-17.57%,1.4%,-7.38%,.81%,2.68%,4.18%,3.38%,29.21%,23.17%,-19.5%,-11.45%,-29.06%,4.97%,16.64%,
Mozambique,MOZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.%,-6.9%,-15.7%,-6.5%,1.%,-2.3%,14.7%,8.2%,6.5%,1.%,4.93%,-7.58%,10.94%,6.44%,2.12%,10.7%,11.81%,10.37%,11.82%,.77%,12.85%,9.67%,7.22%,8.2%,6.31%,9.91%,7.65%,6.88%,5.93%,6.68%,7.13%,7.99%,6.57%,7.7%,7.39%,4.7%,2.64%,3.48%,2.32%,-1.22%,2.38%,4.36%,5.44%
Mauritania,MRT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,.73%,-1.98%,27.69%,16.14%,.23%,3.57%,10.2%,1.25%,11.99%,1.84%,-.73%,-4.58%,12.16%,-5.13%,8.55%,-1.88%,-.5%,4.79%,3.37%,3.45%,-2.34%,3.74%,-3.23%,2.99%,5.71%,1.9%,1.72%,4.78%,-1.77%,1.79%,1.87%,5.87%,-3.06%,9.82%,5.82%,-4.04%,2.78%,3.67%,-3.92%,-.8%,1.38%,6.93%,4.73%,8.57%,18.33%,-1.97%,-.33%,.1%,2.62%,4.17%,4.47%,4.15%,4.27%,5.38%,1.26%,6.27%,4.77%,3.14%,-.36%,.74%,6.8%,6.51%
Mauritius,MUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,22.85%,.81%,13.89%,-6.89%,3.2%,-3.57%,4.38%,-6.89%,4.93%,-.4%,4.27%,8.35%,11.98%,8.81%,.91%,23.75%,6.55%,3.83%,3.52%,-10.06%,5.88%,5.5%,.38%,4.7%,6.95%,9.74%,8.89%,6.79%,4.47%,7.19%,4.44%,6.51%,5.08%,4.14%,4.29%,5.59%,5.69%,6.07%,2.61%,8.2%,3.35%,1.61%,5.93%,4.33%,1.78%,4.87%,5.73%,5.39%,3.32%,4.38%,4.08%,3.5%,3.36%,3.83%,3.69%,3.86%,3.94%,4.01%,2.89%,-14.55%,3.4%,8.88%,6.96%
